Time, X1, Y1, X2, Y2
26640.000000, 21290.520957, -35425.518142, 1644854270.540785, -300389541.027375
26700.000000, 21415.183175, -35557.784480, 1645705646.821813, -295703421.496880
26760.000000, 21540.274527, -35690.127917, 1646543570.633544, -291014886.418402
26820.000000, 21665.795230, -35822.547229, 1647368035.201478, -286323974.107545
26880.000000, 21791.745497, -35955.041195, 1648179033.858766, -281630722.898600
26940.000000, 21918.125538, -36087.608588, 1648976560.046264, -276935171.144248
27000.000000, 22044.935560, -36220.248186, 1649760607.312573, -272237357.215273
27060.000000, 22172.175765, -36352.958762, 1650531169.314097, -267537319.500264
27120.000000, 22299.846353, -36485.739090, 1651288239.815079, -262835096.405322
27180.000000, 22427.947519, -36618.587945, 1652031812.687656, -258130726.353769
27240.000000, 22556.479458, -36751.504098, 1652761881.911900, -253424247.785856
27300.000000, 22685.442357, -36884.486324, 1653478441.575863, -248715699.158465
27360.000000, 22814.836402, -37017.533394, 1654181485.875624, -244005118.944818
27420.000000, 22944.661777, -37150.644078, 1654871009.115326, -239292545.634183
27480.000000, 23074.918659, -37283.817150, 1655547005.707226, -234578017.731583
27540.000000, 23205.607224, -37417.051378, 1656209470.171730, -229861573.757496
27600.000000, 23336.727644, -37550.345533, 1656858397.137441, -225143252.247567
27660.000000, 23468.280088, -37683.698384, 1657493781.341191, -220423091.752311
27720.000000, 23600.264720, -37817.108702, 1658115617.628088, -215701130.836818
27780.000000, 23732.681702, -37950.575253, 1658723900.951550, -210977408.080462
27840.000000, 23865.531193, -38084.096807, 1659318626.373345, -206251962.076604
27900.000000, 23998.813347, -38217.672131, 1659899789.063628, -201524831.432297
27960.000000, 24132.528315, -38351.299992, 1660467384.300978, -196796054.767995
28020.000000, 24266.676244, -38484.979158, 1661021407.472433, -192065670.717254
28080.000000, 24401.257280, -38618.708395, 1661561854.073525, -187333717.926439
28140.000000, 24536.271563, -38752.486468, 1662088719.708313, -182600235.054433
28200.000000, 24671.719231, -38886.312145, 1662602000.089423, -177865260.772334
28260.000000, 24807.600417, -39020.184189, 1663101691.038071, -173128833.763167
28320.000000, 24943.915251, -39154.101367, 1663587788.484103, -168390992.721586
28380.000000, 25080.663862, -39288.062442, 1664060288.466023, -163651776.353579
28440.000000, 25217.846371, -39422.066178, 1664519187.131023, -158911223.376175
28500.000000, 25355.462900, -39556.111341, 1664964480.735016, -154169372.517143
28560.000000, 25493.513565, -39690.196693, 1665396165.642662, -149426262.514703
28620.000000, 25631.998479, -39824.320997, 1665814238.327397, -144681932.117228
28680.000000, 25770.917751, -39958.483017, 1666218695.371461, -139936420.082946
28740.000000, 25910.271488, -40092.681515, 1666609533.465926, -135189765.179648
28800.000000, 26050.059793, -40226.915254, 1666986749.410721, -130442006.184392
28860.000000, 26190.282764, -40361.182994, 1667350340.114656, -125693181.883204
28920.000000, 26330.940497, -40495.483499, 1667700302.595450, -120943331.070786
28980.000000, 26472.033085, -40629.815530, 1668036633.979752, -116192492.550217
29040.000000, 26613.560617, -40764.177848, 1668359331.503165, -111440705.132659
29100.000000, 26755.523177, -40898.569214, 1668668392.510270, -106688007.637060
29160.000000, 26897.920848, -41032.988388, 1668963814.454644, -101934438.889860
29220.000000, 27040.753708, -41167.434132, 1669245594.898884, -97180037.724689
29280.000000, 27184.021831, -41301.905205, 1669513731.514628, -92424842.982079
29340.000000, 27327.725290, -41436.400368, 1669768222.082571, -87668893.509161
29400.000000, 27471.864152, -41570.918380, 1670009064.492486, -82912228.159373
29460.000000, 27616.438481, -41705.458001, 1670236256.743241, -78154885.792159
29520.000000, 27761.448339, -41840.017991, 1670449796.942816, -73396905.272678
29580.000000, 27906.893783, -41974.597109, 1670649683.308322, -68638325.471504
29640.000000, 28052.774867, -42109.194115, 1670835914.166014, -63879185.264329
29700.000000, 28199.091641, -42243.807766, 1671008487.951304, -59119523.531669
29760.000000, 28345.844152, -42378.436823, 1671167403.208780, -54359379.158565
29820.000000, 28493.032445, -42513.080044, 1671312658.592218, -49598791.034287
29880.000000, 28640.656559, -42647.736187, 1671444252.864593, -44837798.052039
29940.000000, 28788.716530, -42782.404011, 1671562184.898090, -40076439.108660
30000.000000, 28937.212392, -42917.082275, 1671666453.674120, -35314753.104326
30060.000000, 29086.144175, -43051.769736, 1671757058.283326, -30552778.942258
30120.000000, 29235.511904, -43186.465153, 1671833997.925594, -25790555.528418
30180.000000, 29385.315602, -43321.167284, 1671897271.910063, -21028121.771220
30240.000000, 29535.555288, -43455.874887, 1671946879.655132, -16265516.581228
30300.000000, 29686.230978, -43590.586720, 1671982820.688466, -11502778.870857
30360.000000, 29837.342685, -43725.301542, 1672005094.647008, -6739947.554084
30420.000000, 29988.890416, -43860.018109, 1672013701.276978, -1977061.546141
30480.000000, 30140.874177, -43994.735180, 1672008640.433884, 2785840.236775
30540.000000, 30293.293969, -44129.451513, 1671989912.082522, 7548718.877800
30600.000000, 30446.149792, -44264.165865, 1671957516.296983, 12311535.459705
30660.000000, 30599.441639, -44398.876995, 1671911453.260655, 17074251.065187
30720.000000, 30753.169503, -44533.583660, 1671851723.266224, 21836826.777172
30780.000000, 30907.333370, -44668.284618, 1671778326.715676, 26599223.679105
30840.000000, 31061.933225, -44802.978628, 1671691264.120298, 31361402.855256
30900.000000, 31216.969048, -44937.664446, 1671590536.100681, 36123325.391010
30960.000000, 31372.440818, -45072.340831, 1671476143.386711, 40884952.373169
31020.000000, 31528.348508, -45207.006541, 1671348086.817576, 45646244.890246
31080.000000, 31684.692088, -45341.660334, 1671206367.341759, 50407164.032766
31140.000000, 31841.471525, -45476.300969, 1671050986.017036, 55167670.893560
31200.000000, 31998.686783, -45610.927203, 1670881944.010474, 59927726.568062
31260.000000, 32156.337820, -45745.537794, 1670699242.598422, 64687292.154610
31320.000000, 32314.424595, -45880.131503, 1670502883.166511, 69446328.754742
31380.000000, 32472.947059, -46014.707085, 1670292867.209643, 74204797.473492
31440.000000, 32631.905162, -46149.263302, 1670069196.331988, 78962659.419686
31500.000000, 32791.298850, -46283.798911, 1669831872.246974, 83719875.706246
31560.000000, 32951.128066, -46418.312671, 1669580896.777281, 88476407.450478
